ROI Label,R,A,S,Hemisphere,Network,Subregions,SubregionID
1,-32,-42,-20,LH,Vis,,1
2,-30,-32,-18,LH,Vis,,2
3,-36,-62,-16,LH,Vis,,3
4,-24,-54,-8,LH,Vis,,4
5,-24,-72,-10,LH,Vis,,5
6,-36,-82,-16,LH,Vis,,6
7,-18,-38,-12,LH,Vis,,7
8,-46,-70,-8,LH,Vis,,8
9,-16,-86,-16,LH,Vis,,9
10,-12,-62,-4,LH,Vis,,10
11,-6,-76,-6,LH,Vis,,11
12,-24,-96,-12,LH,Vis,,12
13,-14,-44,-6,LH,Vis,,13
14,-42,-86,-4,LH,Vis,,14
15,-8,-98,-8,LH,Vis,,15
16,-14,-56,2,LH,Vis,,16
17,-46,-74,6,LH,Vis,,17
18,-4,-88,2,LH,Vis,,18
19,-24,-96,6,LH,Vis,,19
20,-14,-48,4,LH,Vis,,20
21,-8,-74,10,LH,Vis,,21
22,-18,-64,6,LH,Vis,,22
23,-40,-84,14,LH,Vis,,23
24,-10,-96,18,LH,Vis,,24
25,-2,-84,24,LH,Vis,,25
26,-12,-72,20,LH,Vis,,26
27,-26,-84,22,LH,Vis,,27
28,-32,-84,26,LH,Vis,,28
29,-16,-88,34,LH,Vis,,29
30,-12,-82,36,LH,Vis,,30
31,-22,-78,44,LH,Vis,,31
32,-50,-10,0,LH,SomMot,,1
33,-56,-22,8,LH,SomMot,,2
34,-36,-24,10,LH,SomMot,,3
35,-38,-8,12,LH,SomMot,,4
36,-36,-26,18,LH,SomMot,,5
37,-58,-36,16,LH,SomMot,,6
38,-40,-36,14,LH,SomMot,,7
39,-48,-12,14,LH,SomMot,,8
40,-60,-2,10,LH,SomMot,,9
41,-48,-24,18,LH,SomMot,,10
42,-62,-18,20,LH,SomMot,,11
43,-60,-2,24,LH,SomMot,,12
44,-62,-10,32,LH,SomMot,,13
45,-54,-8,30,LH,SomMot,,14
46,-54,-20,40,LH,SomMot,,15
47,-52,-6,44,LH,SomMot,,16
48,-48,-16,40,LH,SomMot,,17
49,-8,-16,48,LH,SomMot,,18
50,-40,-14,48,LH,SomMot,,19
51,-48,-18,54,LH,SomMot,,20
52,-48,-30,58,LH,SomMot,,21
53,-38,-24,52,LH,SomMot,,22
54,-8,-38,54,LH,SomMot,,23
55,-4,-24,56,LH,SomMot,,24
56,-4,-8,60,LH,SomMot,,25
57,-36,-20,64,LH,SomMot,,26
58,-30,-46,62,LH,SomMot,,27
59,-32,-30,62,LH,SomMot,,28
60,-30,-38,66,LH,SomMot,,29
61,-24,-10,64,LH,SomMot,,30
62,-20,-24,66,LH,SomMot,,31
63,-8,-42,70,LH,SomMot,,32
64,-4,-26,68,LH,SomMot,,33
65,-14,-12,72,LH,SomMot,,34
66,-18,-32,68,LH,SomMot,,35
67,-18,-40,72,LH,SomMot,,36
68,-12,-26,74,LH,SomMot,,37
69,-44,-42,-22,LH,DorsAttn,Post,1
70,-48,-56,-16,LH,DorsAttn,Post,2
71,-56,-62,0,LH,DorsAttn,Post,3
72,-48,-66,16,LH,DorsAttn,Post,4
73,-26,-70,30,LH,DorsAttn,Post,5
74,-54,-32,44,LH,DorsAttn,Post,6
75,-22,-66,46,LH,DorsAttn,Post,7
76,-46,-30,44,LH,DorsAttn,Post,8
77,-34,-46,40,LH,DorsAttn,Post,9
78,-28,-58,50,LH,DorsAttn,Post,10
79,-38,-38,50,LH,DorsAttn,Post,11
80,-36,-52,56,LH,DorsAttn,Post,12
81,-14,-70,58,LH,DorsAttn,Post,13
82,-28,-62,62,LH,DorsAttn,Post,14
83,-8,-58,64,LH,DorsAttn,Post,15
84,-20,-56,66,LH,DorsAttn,Post,16
85,-14,-50,72,LH,DorsAttn,Post,17
86,-40,-2,52,LH,DorsAttn,FEF,1
87,-26,0,56,LH,DorsAttn,FEF,2
88,-30,-8,52,LH,DorsAttn,FEF,3
89,-22,6,64,LH,DorsAttn,FEF,4
90,-50,6,26,LH,DorsAttn,PrCv,1
91,-50,2,38,LH,DorsAttn,PrCv,2
92,-54,-32,22,LH,SalVentAttn,ParOper,1
93,-58,-44,28,LH,SalVentAttn,ParOper,2
94,-62,-24,32,LH,SalVentAttn,ParOper,3
95,-62,-36,34,LH,SalVentAttn,ParOper,4
96,-58,-54,10,LH,SalVentAttn,TempOcc,1
97,-44,6,-16,LH,SalVentAttn,FrOperIns,1
98,-38,2,-4,LH,SalVentAttn,FrOperIns,2
99,-32,24,0,LH,SalVentAttn,FrOperIns,3
100,-40,-14,-2,LH,SalVentAttn,FrOperIns,4
101,-32,18,8,LH,SalVentAttn,FrOperIns,5
102,-36,4,10,LH,SalVentAttn,FrOperIns,6
103,-44,12,2,LH,SalVentAttn,FrOperIns,7
104,-50,2,4,LH,SalVentAttn,FrOperIns,8
105,-52,8,14,LH,SalVentAttn,FrOperIns,9
106,-28,44,30,LH,SalVentAttn,PFCl,1
107,-6,22,32,LH,SalVentAttn,Med,1
108,-6,0,40,LH,SalVentAttn,Med,2
109,-12,-28,42,LH,SalVentAttn,Med,3
110,-6,10,48,LH,SalVentAttn,Med,4
111,-12,-42,48,LH,SalVentAttn,Med,5
112,-6,-48,56,LH,SalVentAttn,Med,6
113,-8,-2,70,LH,SalVentAttn,Med,7
114,-12,24,-20,LH,Limbic,OFC,1
115,-24,22,-20,LH,Limbic,OFC,2
116,-10,48,-22,LH,Limbic,OFC,3
117,-4,24,-20,LH,Limbic,OFC,4
118,-16,64,-8,LH,Limbic,OFC,5
119,-38,-6,-42,LH,Limbic,TempPole,1
120,-24,6,-40,LH,Limbic,TempPole,2
121,-26,-10,-32,LH,Limbic,TempPole,3
122,-54,-22,-30,LH,Limbic,TempPole,4
123,-40,-22,-26,LH,Limbic,TempPole,5
124,-44,12,-34,LH,Limbic,TempPole,6
125,-32,12,-30,LH,Limbic,TempPole,7
126,-20,-20,-26,LH,Limbic,TempPole,8
127,-28,-74,42,LH,Cont,Par,1
128,-58,-42,46,LH,Cont,Par,2
129,-54,-50,44,LH,Cont,Par,3
130,-34,-62,48,LH,Cont,Par,4
131,-42,-52,48,LH,Cont,Par,5
132,-44,-42,46,LH,Cont,Par,6
133,-60,-48,-10,LH,Cont,Temp,1
134,-26,50,-14,LH,Cont,OFC,1
135,-42,48,-6,LH,Cont,PFCl,1
136,-48,36,10,LH,Cont,PFCl,2
137,-38,50,10,LH,Cont,PFCl,3
138,-28,56,12,LH,Cont,PFCl,4
139,-42,38,22,LH,Cont,PFCl,5
140,-44,20,26,LH,Cont,PFCl,6
141,-40,8,34,LH,Cont,PFCl,7
142,-36,32,38,LH,Cont,PFCl,8
143,-34,16,-8,LH,Cont,PFCv,1
144,-10,-78,46,LH,Cont,pCun,1
145,-4,-64,52,LH,Cont,pCun,2
146,-4,6,28,LH,Cont,Cing,1
147,-4,-22,30,LH,Cont,Cing,2
148,-4,28,48,LH,Cont,PFCmp,1
149,-54,-2,-30,LH,Default,Temp,1
150,-62,-18,-20,LH,Default,Temp,2
151,-60,-36,-18,LH,Default,Temp,3
152,-56,-8,-14,LH,Default,Temp,4
153,-52,6,-12,LH,Default,Temp,5
154,-60,-34,-4,LH,Default,Temp,6
155,-52,-22,-6,LH,Default,Temp,7
